titulo,img_url
Toy Story (1995),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJzAvb8vFlI_NhQWAKMNDqDLXLBwG7uAtrXpbTiZGq5foib83-
Twelve Monkeys (1995),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSDTkHN2gqedfDf80j3vyv5DRx5HZKgw3u0h9FW_PjdE-PI2xE_
Dead Man Walking (1995),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQjld-Awrn_U8cr8LMVJTdMzl-MeJRbw1qzhvGgjdfDuvrl1eKI
"Usual Suspects, The (1995)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS444S6trRnIa0vOXYJFtoeqA56AyGh7HnRqfotDLyq74dZM5jq
Mr. Holland's Opus (1995),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBpmNS3xQCvSjNow-4iB7Q9ITH0G1CZc76CtowKWLHL_bceJg6
Braveheart (1995),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQZMhJp7Pe1AW0S55kuNvgKPdHvGbmKCIXqbpeDkvjcaCEqL8b2
"Birdcage, The (1996)",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS4b8BqRsnsccwH8ZoHA6gLksL3sDWwd0CMky1R5_JCgjWnYNaJ
Apollo 13 (1995),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcROJnafHwg8r0joUTK1JfWcJZa7V_174DVXOYEKjgEr9CdT29-4
Star Wars (1977),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS4d62OYbYqUAQKinIUs9t_CuC58mTe9r3phTgsD4br5a05WBne
Pulp Fiction (1994),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZUTnNVTW8xT3y97qIZ8op9FNtIXzmp6TPDcC0qpqTvvKNV9YT
"Shawshank Redemption, The (1994)",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTrBFXcfS56iTRtqQ9WbUB0bRcXz0A96V7NlPE2SaKBwQh6sxZ3
Forrest Gump (1994),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSgJaxEFJxdwh2SP1sAI92IQgaThjvJM6XSd1G2YEEqVwjqNnVF
Four Weddings and a Funeral (1994),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAGw0kBSOdq-Atcjsjb1ucZCShT8YmmooKuVjwvaUdBZpn_5mf
"Fugitive, The (1993)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXVJnuXkbT-9qUa70uWAxTR_JZpjHhPsw47wCdZaG4sp-TuGve
Jurassic Park (1993),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSVvdES4O7zcoqcxElrT5cy33kFcDe4a20EzyB91x24yYMReIpy
Blade Runner (1982),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTcvek3p12Gwqwk-2wjTSHWTNq0LTTeoOgXUwqerVOY2u9zjOgO
Terminator 2: Judgment Day (1991),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQue5mh-aTESEbF3YMryjyhPtEnM0hUtAn7NF3CplUXi68TFp1H
Dances with Wolves (1990),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQRwUNjUNh0Avd-fLkLyauW8ATB5lkoHCeUUoFCNdtMTH8ffUaX
"Silence of the Lambs, The (1991)",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT8Mj9G4tsKR_traZ-QZFhKEx9BRP6Gj9AiH8Hjm4_86ByxS99T
Fargo (1996),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ8auiVHTDPMII_eOb_FNyEeQuEuofclYZR1nU_mytMQmR4AOdC
"Truth About Cats & Dogs, The (1996)",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQD4TlaTHZl1XCC9FYZ0J-zP5S2ohHDfAKsubELxTX1J0P885xO
"Rock, The (1996)",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQBI6XEctJB23g5CR1ExhLGmRk6lB9JRSSv9ww3SaqBKf_1avUB
Twister (1996),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQGx9moDXBoztbHSld6Lkfyx4tqeFpAVbryw9tlBYYvIwvmIVsE
Independence Day (ID4) (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSngPgfs-thX0mwiR1LEDiTx3dlOB7ZNe9sw92EZNzKFiF-iNCm
"Godfather, The (1972)",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQjkxk1HXZqweCR7dcKnjQEI5ZjKxiyNMUqZxFLE99AQlGM5f9r
2001: A Space Odyssey (1968),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRlutLAHQS7oxXVOSI1XqXaKnazvvAl5Pzd_df_YZb6-NEssaf-
Willy Wonka and the Chocolate Factory (1971),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRbuY3WGpK8Mk3xSU2M-I7nMvVTw2VK-djb8ZAoBazIVCIqFMRX
Monty Python and the Holy Grail (1974),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ7M-to3hVW90fIHGXtliLIec207pTj9AnnGejhpShwhqnASpdK
"Empire Strikes Back, The (1980)",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTAFLmt-Hfy6valTAd6sdWx0GcUYd-qS_Bkd4-Tk7_pGOa7DLEd
"Princess Bride, The (1987)",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRXI_U7CKMUQ70-epBZ0iZoO3kVYgFlmE6FIRVQMdX78NJT-XOz
Raiders of the Lost Ark (1981),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTVoP-ujRnVfz9P7k-KZccFAE1jh2WmhRwX-N3a3eAVdz1zk5HF
Aliens (1986),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQi2b3X57GQXOZi-BIpOTTq4EZus2_np7wIMdVrDwJm25l78lDn
Return of the Jedi (1983),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXPU8__AsCs2FxSQ62Rn7I0OlCAFs_17nqY2sD_RGsMd2Y9uPF
Alien (1979),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTLc8C5LHpWCgai_iIDgLtPSLkVJqWVWdXJBE2Moc4VFSsZwhAu
"Blues Brothers, The (1980)",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ0FKrcPUxHZTNfPKerRu271o6_udMRe2ADWRwmFIkwPgezGL-a
Amadeus (1984),https://www.abc.es/media/peliculas/000/003/307/amadeus-1.jpg
"Terminator, The (1984)",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRguTuOQ7hyYt9b5dS2Vn7AY-U0Lkr9zGPC_D-VyvrlgZQvn8l6
Dead Poets Society (1989),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHItRuRsfNRdenajtdJTRFfX-rdEL4RbiJ9SQoF6GePPVP3nfa
Groundhog Day (1993),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQPuPXMVnLLeT1hMV1KO39_OCstXgJTTlfb-zAQgJhcM_0Tp9r
Back to the Future (1985),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR80666e4S2B6AgopyUP0aybHhpFGBNbWf8oYtNWlm0rQ_tf8gd
Indiana Jones and the Last Crusade (1989),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGs_SuBXEUt03woQbI0LnbZyc6fOFCfPFf7LYawhMK_niJk8JM
When Harry Met Sally... (1989),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTGfOzyKenPpjYkX5mXjtCTWuDCWFO6LZ1gFLr3e6QpKY501c4y
Star Trek: First Contact (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGiQYe3qNXxk8WMFt9r83PhHhYo28bbA4cs7lJ7GiMV5qTWdjW
Jaws (1975),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRX0v0U13o86kKRqmqygaxLhNchMXQ6pnqQ4AuhkNi3MCYMuKb
Jerry Maguire (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaZpfitD2ANmMFLOoCOTWetCb8LVeOvYKLXLurK-WCKTPaahrj
Raising Arizona (1987),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQFJDUVUlKf_6fWhwSFQS50DXJg3KcNMkKeCATjZnIcuJe3zLYh
Men in Black (1997),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQs1W64LWzVa92wXQE6sRsV6c480kEDpn1XsBZslsZ95yps6Gl
Contact (1997),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSeUs2dg21PlBWVwrWshAEQ5LO1Y5jtmoI9PFB54Q1HcpRpeuuF
"Full Monty, The (1997)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpmDoYEY_ccocS3xn7y5rrVUv2SWeH3XtOxDjngtJvJmxmnGJX
Sense and Sensibility (1995),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT4HuuZUWkcQncmLYYv8xSSQxWnzSkJlAx3p1IUfjV3a7A-7sj
Leaving Las Vegas (1995),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBrvThDvTSGvZRKBCiOXm8RPngmAaaO3eSWfaJMnE5VLJBwnIc
"English Patient, The (1996)",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSWgBsp6lCPh8l54aumO2B5RIGF66NHfEbs2cdllI9xzMJeoI3B
Scream (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTA9xsWJyQCpzzNFPpVi5VUpxbPnce1ZUaCUoPRtjTCHVxR4EAT
Evita (1996),https://pics.filmaffinity.com/Evita-591838189-large.jpg
Liar Liar (1997),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRbTFWiuhAZgFvhSqPLbj0Se-VhOkzOJrLZqTUjzbCjEV9tYtN4
Air Force One (1997),https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQTwzmW68sEcQr5tWZTdfHoo7AtBEsIfHyFJcf6tGIqEnXDYbLM
L.A. Confidential (1997),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRMAf4H-xfk4Y7FsAjejfuOUkXxDfEZGu1Nt9hLgdIIA8OOSzjF
Titanic (1997),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSLITJy5IWUAnLlg6dtv8Pfgvf2Emoi8vjaqIUD_9tLWiPTbFv6
Schindler's List (1993),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSs7EbjWEudsBlXi-rCehHe49RsxfCSlxvbTFXHT0uaP_Yt1gis
Conspiracy Theory (1997),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQdkTeFYgQ17I7b3DzqRPmUsIEinmLOcbk0kw8dyB26OzIrTnEW
"Game, The (1997)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3C9BOw0kxIQZ1Oa3pcseBTqvPIk-jBGKtQHfV3f-Dgpcre9u8
One Flew Over the Cuckoo's Nest (1975),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCy9yEf-4YTBHikc7niAPYawgDj3t773oe_6M2NPI2UKvUGRVW
Mission: Impossible (1996),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC5y78KTECoLZGNjDQdPg_vMKOKtCIyvmo6ZjAAFUJFhwT_M__
E.T. the Extra-Terrestrial (1982),https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-0V7sLVglNCCzEzkFqFRRULhWcvSDEfjGsh96L0tOr_Cp7kie
Broken Arrow (1996),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkBj_h4WBQi1pgS3NK-llH7s1kmnWj630dx3FTgVLfR3pq5KyD
Ransom (1996),https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSz1j7fL0s-ZccoBSu6kJm-bFYciMen6DLacpGFVdK__gmS5VXs
"Saint, The (1997)",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTMqh0Izv931hJWVRbVbftiK3vxS6IUtOkl021xx5JjOvtP8uHP